segment,region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ammonia,austria,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06,7.458491399260924e-06
Ammonia,belgium,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06,1.2910095472159028e-06
Ammonia,bulgaria,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06,4.6801465654084805e-06
Ammonia,croatia,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05,6.84168308729216e-05
Ammonia,cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,czechia,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06,2.587049013396537e-06
Ammonia,denmark,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05,7.273430064920171e-05
Ammonia,estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,finland,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05,1.777526113240455e-05
Ammonia,france,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07,9.410403411999636e-07
