segment,region,elasticity
Steel,austria,0
Steel,belgium,0
Steel,bulgaria,0
Steel,croatia,0
Steel,cyprus,0
Steel,czechia,0
Steel,denmark,0
Steel,estonia,0
Steel,finland,0
Steel,france,0
Steel,germany,0
Steel,greece,0
Steel,hungary,0
Steel,ireland,0
Steel,italy,0
Steel,latvia,0
Steel,lithuania,0
Steel,luxembourg,0
Steel,malta,0
Steel,netherlands,0
Steel,poland,0
Steel,portugal,0
Steel,romania,0
Steel,slovakia,0
Steel,slovenia,0
Steel,spain,0
Steel,sweden,0
Steel,liechtenstein,0
Steel,norway,0
Steel,iceland,0
Cement,austria,0
Cement,belgium,0
Cement,bulgaria,0
Cement,croatia,0
Cement,cyprus,0
Cement,czechia,0
Cement,denmark,0
Cement,estonia,0
Cement,finland,0
Cement,france,0
Cement,germany,0
Cement,greece,0
Cement,hungary,0
Cement,ireland,0
Cement,italy,0
Cement,latvia,0
Cement,lithuania,0
Cement,luxembourg,0
Cement,malta,0
Cement,netherlands,0
Cement,poland,0
Cement,portugal,0
Cement,romania,0
Cement,slovakia,0
Cement,slovenia,0
Cement,spain,0
Cement,sweden,0
Cement,liechtenstein,0
Cement,norway,0
Cement,iceland,0
Ammonia,austria,0
Ammonia,belgium,0
Ammonia,bulgaria,0
Ammonia,croatia,0
Ammonia,cyprus,0
Ammonia,czechia,0
Ammonia,denmark,0
Ammonia,estonia,0
Ammonia,finland,0
Ammonia,france,0
Ammonia,germany,0
Ammonia,greece,0
Ammonia,hungary,0
Ammonia,ireland,0
Ammonia,italy,0
Ammonia,latvia,0
Ammonia,lithuania,0
Ammonia,luxembourg,0
Ammonia,malta,0
Ammonia,netherlands,0
Ammonia,poland,0
Ammonia,portugal,0
Ammonia,romania,0
Ammonia,slovakia,0
Ammonia,slovenia,0
Ammonia,spain,0
Ammonia,sweden,0
Ammonia,liechtenstein,0
Ammonia,norway,0
Ammonia,iceland,0
Plastics,austria,0
Plastics,belgium,0
Plastics,bulgaria,0
Plastics,croatia,0
Plastics,cyprus,0
Plastics,czechia,0
Plastics,denmark,0
Plastics,estonia,0
Plastics,finland,0
Plastics,france,0
Plastics,germany,0
Plastics,greece,0
Plastics,hungary,0
Plastics,ireland,0
Plastics,italy,0
