segment,region,gamma
Steel,austria,100
Steel,belgium,100
Steel,bulgaria,100
Steel,croatia,100
Steel,cyprus,100
Steel,czechia,100
Steel,denmark,100
Steel,estonia,100
Steel,finland,100
Steel,france,100
Steel,germany,100
Steel,greece,100
Steel,hungary,100
Steel,ireland,100
Steel,italy,100
Steel,latvia,100
Steel,lithuania,100
Steel,luxembourg,100
Steel,malta,100
Steel,netherlands,100
Steel,poland,100
Steel,portugal,100
Steel,romania,100
Steel,slovakia,100
Steel,slovenia,100
Steel,spain,100
Steel,sweden,100
Steel,liechtenstein,100
Steel,norway,100
Steel,iceland,100
Cement,austria,100
Cement,belgium,100
Cement,bulgaria,100
Cement,croatia,100
Cement,cyprus,100
Cement,czechia,100
Cement,denmark,100
Cement,estonia,100
Cement,finland,100
Cement,france,100
Cement,germany,100
Cement,greece,100
Cement,hungary,100
Cement,ireland,100
Cement,italy,100
Cement,latvia,100
Cement,lithuania,100
Cement,luxembourg,100
Cement,malta,100
Cement,netherlands,100
Cement,poland,100
Cement,portugal,100
Cement,romania,100
Cement,slovakia,100
Cement,slovenia,100
Cement,spain,100
Cement,sweden,100
Cement,liechtenstein,100
Cement,norway,100
Cement,iceland,100
Ammonia,austria,100
Ammonia,belgium,100
Ammonia,bulgaria,100
Ammonia,croatia,100
Ammonia,cyprus,100
Ammonia,czechia,100
Ammonia,denmark,100
Ammonia,estonia,100
Ammonia,finland,100
Ammonia,france,100
Ammonia,germany,100
Ammonia,greece,100
Ammonia,hungary,100
Ammonia,ireland,100
Ammonia,italy,100
Ammonia,latvia,100
Ammonia,lithuania,100
Ammonia,luxembourg,100
Ammonia,malta,100
Ammonia,netherlands,100
Ammonia,poland,100
Ammonia,portugal,100
Ammonia,romania,100
Ammonia,slovakia,100
Ammonia,slovenia,100
Ammonia,spain,100
Ammonia,sweden,100
Ammonia,liechtenstein,100
Ammonia,norway,100
Ammonia,iceland,100
Plastics,austria,100
Plastics,belgium,100
Plastics,bulgaria,100
Plastics,croatia,100
Plastics,cyprus,100
Plastics,czechia,100
Plastics,denmark,100
Plastics,estonia,100
Plastics,finland,100
Plastics,france,100
Plastics,germany,100
Plastics,greece,100
Plastics,hungary,100
Plastics,ireland,100
Plastics,italy,100
Plastics,latvia,100
Plastics,lithuania,100
Plastics,luxembourg,100
Plastics,malta,100
Plastics,netherlands,100
Plastics,poland,100
Plastics,portugal,100
Plastics,romania,100
Plastics,slovakia,100
Plastics,slovenia,100
Plastics,spain,100
Plastics,sweden,100
Plastics,liechtenstein,100
Plastics,norway,100
Plastics,iceland,100
Hydrogen,austria,100
Hydrogen,belgium,100
Hydrogen,bulgaria,100
Hydrogen,croatia,100
Hydrogen,cyprus,100
Hydrogen,czechia,100
Hydrogen,denmark,100
Hydrogen,estonia,100
Hydrogen,finland,100
Hydrogen,france,100
Hydrogen,germany,100
Hydrogen,greece,100
Hydrogen,hungary,100
Hydrogen,ireland,100
Hydrogen,italy,100
Hydrogen,latvia,100
Hydrogen,lithuania,100
Hydrogen,luxembourg,100
Hydrogen,malta,100
Hydrogen,netherlands,100
Hydrogen,poland,100
Hydrogen,portugal,100
Hydrogen,romania,100
Hydrogen,slovakia,100
Hydrogen,slovenia,100
