region,segment,technology,percent
belgium,cement,conventional,0.95
belgium,cement,ccs,0
belgium,cement,af,0
belgium,cement,af_ccs,0
belgium,cement,af_lower_clinker_cement_ratio_ccs,0
belgium,cement,lower_clinker_cement_ratio,0.02
belgium,cement,af_lower_clinker_cement_ratio,0.03
belgium,cement,lower_clinker_cement_ratio_ccs,0
bulgaria,cement,conventional,0.95
bulgaria,cement,ccs,0
bulgaria,cement,af,0
bulgaria,cement,af_ccs,0
bulgaria,cement,af_lower_clinker_cement_ratio_ccs,0
bulgaria,cement,lower_clinker_cement_ratio,0.02
bulgaria,cement,af_lower_clinker_cement_ratio,0.03
bulgaria,cement,lower_clinker_cement_ratio_ccs,0
czechia,cement,conventional,0.95
czechia,cement,ccs,0
czechia,cement,af,0
czechia,cement,af_ccs,0
czechia,cement,af_lower_clinker_cement_ratio_ccs,0
czechia,cement,lower_clinker_cement_ratio,0.02
czechia,cement,af_lower_clinker_cement_ratio,0.03
czechia,cement,lower_clinker_cement_ratio_ccs,0
denmark,cement,conventional,0.95
denmark,cement,ccs,0
denmark,cement,af,0
denmark,cement,af_ccs,0
denmark,cement,af_lower_clinker_cement_ratio_ccs,0
denmark,cement,lower_clinker_cement_ratio,0.02
denmark,cement,af_lower_clinker_cement_ratio,0.03
denmark,cement,lower_clinker_cement_ratio_ccs,0
germany,cement,conventional,0.95
germany,cement,ccs,0
germany,cement,af,0
germany,cement,af_ccs,0
germany,cement,af_lower_clinker_cement_ratio_ccs,0
germany,cement,lower_clinker_cement_ratio,0.02
germany,cement,af_lower_clinker_cement_ratio,0.03
germany,cement,lower_clinker_cement_ratio_ccs,0
estonia,cement,conventional,0.95
estonia,cement,ccs,0
estonia,cement,af,0
estonia,cement,af_ccs,0
estonia,cement,af_lower_clinker_cement_ratio_ccs,0
estonia,cement,lower_clinker_cement_ratio,0.02
estonia,cement,af_lower_clinker_cement_ratio,0.03
estonia,cement,lower_clinker_cement_ratio_ccs,0
ireland,cement,conventional,0.95
ireland,cement,ccs,0
ireland,cement,af,0
ireland,cement,af_ccs,0
ireland,cement,af_lower_clinker_cement_ratio_ccs,0
ireland,cement,lower_clinker_cement_ratio,0.02
ireland,cement,af_lower_clinker_cement_ratio,0.03
ireland,cement,lower_clinker_cement_ratio_ccs,0
greece,cement,conventional,0.95
greece,cement,ccs,0
greece,cement,af,0
greece,cement,af_ccs,0
greece,cement,af_lower_clinker_cement_ratio_ccs,0
greece,cement,lower_clinker_cement_ratio,0.02
