region,segment,technology,unit,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
belgium,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
belgium,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
belgium,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
belgium,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
belgium,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belgium,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
belgium,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
belgium,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
bulgaria,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
bulgaria,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
bulgaria,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
bulgaria,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
bulgaria,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bulgaria,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
bulgaria,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
bulgaria,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
czechia,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
czechia,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
czechia,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
czechia,cement,af_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
czechia,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
czechia,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
czechia,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
czechia,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
denmark,cement,conventional,eur_per_tonne_cement_per_year,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
denmark,cement,ccs,eur_per_tonne_cement_per_year,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
denmark,cement,af,eur_per_tonne_cement_per_year,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
